n,minSwapSolverflowtime,openSwapSolverflowtime,meanSwapSolverflowtime,closedSwapSolverflowtime,maxSwapSolverflowtime,minDistributedSwapSolverflowtime,openDistributedSwapSolverflowtime,meanDistributedSwapSolverflowtime,closedDistributedSwapSolverflowtime,maxDistributedSwapSolverflowtime,minLpSolverflowtime,openLpSolverflowtime,meanLpSolverflowtime,closedLpSolverflowtime,maxLpSolverflowtime,minSwapSolverTime,openSwapSolverTime,meanSwapSolverTime,closedswapSolverTime,maxSwapSolverTime,minDistributedSwapSolverTime,openDistributedSwapSolverTime,meanDistributedSwapSolverTime,closedDistributedSwapSolverTime,maxDistributedSwapSolverTime,minLpSolverTime,openLpSolverTime,meanLpSolverTime,closedLpSolverTime,maxLpSolverTime,swap4swap,nbPropose4swap,nbCounterPropose4swap,nbAccept4swap,nbReject4swap,nbWithdraw4swap,nbConfirmGift4swap,nbConfirmSwap4swap,nbInform4swap
90,4348.0,5018.0,5388.0,5835.0,6413.0,40120.0,42737.0,44569.0,47616.0,49012.0,1393.0,1459.0,1531.0,1628.0,1685.0,4.19274672E8,4.37977077E8,4.46539507E8,4.70489937E8,5.05327981E8,3.47032696E8,3.89099668E8,4.29535335E8,4.92464461E8,5.30931633E8,2.4440254E7,2.8069712E7,3.2224568E7,3.3298573E7,4.6645966E7,75.0,4523.9,0.0,0.0,4523.9,0.0,0.0,0.0,0.0
92,4605.0,5069.0,5347.0,5975.0,6597.0,41479.0,45195.0,47029.0,48098.0,50814.0,1285.0,1523.0,1658.0,1723.0,1907.0,4.41765206E8,4.51312615E8,4.64995334E8,4.89656651E8,5.30116132E8,3.11507826E8,3.75782004E8,4.26576838E8,4.66016576E8,5.49028583E8,2.5671161E7,2.8056731E7,3.1029197E7,3.7620133E7,4.6255918E7,75.35,4754.6,0.0,0.0,4754.6,0.0,0.0,0.0,0.0
94,4528.0,5013.0,5424.0,5784.0,6180.0,41417.0,46275.0,46790.0,48751.0,51106.0,1307.0,1471.0,1543.0,1714.0,1845.0,4.85352207E8,4.9706534E8,5.14463935E8,5.30918937E8,5.66665456E8,2.98129072E8,3.84228977E8,4.24915078E8,5.00816397E8,5.32750505E8,2.4479577E7,3.4101693E7,3.7384864E7,4.3110861E7,5.0658429E7,81.75,4851.95,0.0,0.0,4851.95,0.0,0.0,0.0,0.0
96,4353.0,5001.0,5424.0,5615.0,5979.0,42119.0,46830.0,49978.0,52164.0,54067.0,1354.0,1417.0,1521.0,1721.0,1791.0,4.98261141E8,5.21075091E8,5.37026495E8,5.74524305E8,6.08004707E8,2.99551449E8,3.80180758E8,4.3827187E8,4.80740525E8,5.27171634E8,2.1073414E7,3.3022235E7,3.7612826E7,4.0487391E7,4.759886E7,81.95,5148.5,0.0,0.0,5148.5,0.0,0.0,0.0,0.0
98,4988.0,5406.0,5648.0,5811.0,6477.0,45896.0,47900.0,48763.0,51797.0,54039.0,1306.0,1430.0,1577.0,1659.0,1791.0,5.43108486E8,5.72129149E8,5.82652212E8,6.07348805E8,6.32113673E8,3.53293022E8,4.06462974E8,4.46620054E8,4.86948608E8,5.80466153E8,2.5795977E7,3.7386625E7,4.0220449E7,4.637849E7,4.9192142E7,84.5,5311.1,0.0,0.0,5311.1,0.0,0.0,0.0,0.0
100,5102.0,5337.0,5555.0,5927.0,6394.0,42449.0,48682.0,50554.0,52936.0,54152.0,1342.0,1487.0,1559.0,1602.0,1781.0,5.62078622E8,6.02317373E8,6.25487603E8,6.46521856E8,6.86789681E8,3.7007956E8,4.04127858E8,4.3909784E8,4.75895081E8,5.26057671E8,3.1525784E7,3.9522046E7,4.2830991E7,4.9877253E7,7.0554437E7,86.4,5519.5,0.0,0.0,5519.5,0.0,0.0,0.0,0.0
102,4687.0,5102.0,5652.0,6207.0,6684.0,44169.0,48169.0,49995.0,52780.0,55603.0,1331.0,1390.0,1565.0,1620.0,1776.0,5.94636239E8,6.33158714E8,6.41799286E8,6.84729524E8,7.7919616E8,3.37455021E8,4.05221698E8,4.26221362E8,4.84755316E8,6.24710079E8,3.5032607E7,4.4178941E7,4.6391801E7,5.0172589E7,6.4009603E7,86.45,5603.05,0.0,0.0,5603.05,0.0,0.0,0.0,0.0
104,5283.0,5551.0,5682.0,5949.0,6247.0,47537.0,49719.0,51563.0,53900.0,55824.0,1274.0,1464.0,1557.0,1641.0,1951.0,6.60006796E8,6.77015175E8,6.91822303E8,7.08820965E8,7.65136973E8,3.56972765E8,3.96893462E8,4.52755265E8,4.86255058E8,5.41223796E8,3.4597953E7,4.3237252E7,5.010199E7,5.5620996E7,7.1242095E7,89.8,5819.15,0.0,0.0,5819.15,0.0,0.0,0.0,0.0
106,4855.0,5570.0,6044.0,6116.0,7091.0,44812.0,50656.0,54306.0,56112.0,58252.0,1244.0,1496.0,1601.0,1664.0,1872.0,6.85091746E8,7.27894142E8,7.38999989E8,7.67763825E8,8.16650089E8,3.47129036E8,3.90829658E8,4.49886957E8,5.11246615E8,6.15914417E8,3.9111814E7,4.9271613E7,5.2815753E7,5.9594876E7,6.5678169E7,91.85,6045.45,0.0,0.0,6045.45,0.0,0.0,0.0,0.0
108,4843.0,5730.0,6274.0,6472.0,7201.0,47572.0,53070.0,54162.0,55507.0,60143.0,1360.0,1503.0,1593.0,1620.0,1839.0,7.47171891E8,7.66426638E8,7.98740591E8,8.31111329E8,8.57553258E8,3.06314254E8,4.16489401E8,4.52670642E8,4.91541052E8,5.83216503E8,3.2546772E7,5.1423206E7,5.812983E7,6.3107817E7,7.3950759E7,93.35,6267.6,0.0,0.0,6267.6,0.0,0.0,0.0,0.0
110,5389.0,5514.0,5787.0,5961.0,6777.0,47209.0,54274.0,55300.0,57882.0,59714.0,1313.0,1459.0,1576.0,1682.0,1937.0,7.7952077E8,8.20120735E8,8.32053168E8,8.69766862E8,9.08344287E8,4.06778836E8,4.41948505E8,4.82919523E8,5.07857455E8,6.53306904E8,4.0352313E7,5.1168546E7,6.2275757E7,6.7869471E7,7.7834278E7,96.9,6538.2,0.0,0.0,6538.2,0.0,0.0,0.0,0.0
